gm_code,gm_naam
GM0377,Bloemendaal
GM0376,Blaricum
GM0375,Beverwijk
GM1719,Drimmelen
GM0385,Edam-Volendam
GM0384,Diemen
GM0383,Castricum
GM1714,Sluis
GM0606,Schiedam
GM1711,Echt-Susteren
GM0603,Rijswijk
GM0489,Barendrecht
GM1699,Noordenveld
GM0263,Maasdriel
GM0262,Lochem
GM1696,Wijdemeren
GM0737,Tytsjerksteradiel
GM1695,Noord-Beveland
GM0736,De Ronde Venen
GM0074,Heerenveen
GM0072,Harlingen
GM0388,Enkhuizen
GM0965,Simpelveld
GM1926,Pijnacker-Nootdorp
GM0396,Heemskerk
GM1924,Goeree-Overflakkee
GM0394,Haarlemmermeer
GM0119,Meppel
GM0118,Hoogeveen
GM0392,Haarlem
GM0114,Emmen
GM0614,Westvoorne
GM0848,Son en Breugel
GM0613,Albrandswaard
GM0847,Someren
GM1581,Utrechtse Heuvelrug
GM0269,Oldebroek
GM0845,Sint-Michielsgestel
GM0268,Nijmegen
GM0610,Sliedrecht
GM0267,Nijkerk
GM0275,Rheden
GM0498,Drechterland
GM0840,Rucphen
GM0274,Renkum
GM0273,Putten
GM0748,Bergen op Zoom
GM0317,Eemnes
GM0744,Baarle-Nassau
GM0313,Bunschoten
GM0743,Asten
GM0312,Bunnik
GM0310,De Bilt
GM0971,Stein
GM1931,Krimpenerwaard
GM1930,Nissewaard
GM0629,Wassenaar
GM1586,Oost Gelre
GM0627,Waddinxveen
GM0626,Voorschoten
GM0858,Valkenswaard
GM0622,Vlaardingen
GM0856,Uden
GM0855,Tilburg
GM0852,Waterland
GM0851,Steenbergen
GM0327,Leusden
GM0003,Appingedam
GM0988,Weert
GM1949,Waadhoeke
GM0556,Maassluis
GM0321,Houten
GM0986,Voerendaal
GM1948,Meierijstad
GM0010,Delfzijl
GM0984,Venray
GM0553,Lisse
GM0983,Venlo
GM1945,Berg en Dal
GM0981,Vaals
GM1942,Gooise Meren
GM1598,Koggenland
GM1940,De Fryske Marren
GM0209,Beuningen
GM0439,Purmerend
GM0203,Barneveld
GM0141,Almelo
GM0437,Ouder-Amstel
GM0867,Waalwijk
GM0202,Arnhem
GM0866,Waalre
GM0865,Vught
GM0200,Apeldoorn
GM0432,Opmeer
GM0431,Oostzaan
GM0861,Veldhoven
GM1641,Maasgouw
GM1640,Leudal
GM0339,Renswoude
GM0335,Montfoort
GM0014,Groningen
GM0569,Nieuwkoop
GM1959,Altena
GM0917,Heerlen
GM0331,Lopik
GM0340,Rhenen
GM1525,Teylingen
GM1955,Montferland
GM1954,Beekdaelen
GM1952,Midden-Groningen
GM0148,Dalfsen
GM1950,Westerwolde
GM0147,Borne
GM0216,Culemborg
GM0214,Buren
GM0153,Enschede
GM0448,Texel
GM0213,Brummen
GM1659,Laarbeek
GM1658,Heeze-Leende
GM0150,Deventer
GM1655,Halderberge
GM0441,Schagen
GM1652,Gemert-Bakel
GM0451,Uithoorn
GM0450,Uitgeest
GM1884,Kaag en Braassem
GM1883,Sittard-Geleen
GM1892,Zuidplas
GM0345,Veenendaal
GM0024,Loppersum
GM1891,Dantumadiel
GM0579,Oegstgeest
GM0344,Utrecht
GM0928,Kerkrade
GM0342,Soest
GM0352,Wijk bij Duurstede
GM0575,Noordwijk
GM0351,Woudenberg
GM0228,Ede
GM0226,Duiven
GM0225,Druten
GM1771,Geldrop-Mierlo
GM1669,Roerdalen
GM0457,Weesp
GM0222,Doetinchem
GM0221,Doesburg
GM1667,Reusel-De Mierden
GM0230,Elburg
GM0453,Velsen
GM1896,Zwartewaterland
GM1895,Oldambt
GM1894,Peel en Maas
GM0589,Oudewater
GM0938,Meerssen
GM0703,Reimerswaal
GM0935,Maastricht
GM0590,Papendrecht
GM1774,Dinkelland
GM1773,Olst-Wijhe
GM0809,Loon op Zand
GM1676,Schouwen-Duiveland
GM0815,Mill en Sint Hubert
GM1674,Roosendaal
GM0473,Zandvoort
GM1681,Borger-Odoorn
GM1680,Aa en Hunze
GM0798,Hilvarenbeek
GM0797,Heusden
GM0796,s-Hertogenbosch
GM0794,Helmond
GM0518,s-Gravenhage
GM0946,Nederweert
GM0944,Mook en Middelaar
GM0513,Gouda
GM0512,Gorinchem
GM1904,Stichtse Vecht
GM1903,Eijsden-Margraten
GM1901,Bodegraven-Reeuwijk
GM1900,Súdwest-Fryslân
GM0678,Kapelle
GM1783,Westland
GM0677,Hulst
GM0828,Oss
GM0826,Oosterhout
GM0824,Oisterwijk
GM0823,Oirschot
GM0820,Nuenen Gerwen en Nederwetten
GM0109,Coevorden
GM0106,Assen
GM1916,Leidschendam-Voorburg
GM0523,Hardinxveld-Giessendam
GM1911,Hollands Kroon
GM0687,Middelburg
GM0406,Huizen
GM0405,Hoorn
GM0402,Hilversum
GM0400,Den Helder
GM0308,Baarn
GM0307,Amersfoort
GM1842,Midden-Delfland
GM0303,Dronten
GM0537,Katwijk
GM0302,Nunspeet
GM0301,Zutphen
GM0534,Hillegom
GM0532,Stede Broec
GM1729,Gulpen-Wittem
GM0531,Hendrik-Ido-Ambacht
GM1728,Bladel
GM0530,Hellevoetsluis
GM1724,Bergeijk
GM1723,Alphen-Chaam
GM1721,Bernheze
GM0417,Laren
GM0416,Langedijk
GM0415,Landsmeer
GM1859,Berkelland
GM1621,Lansingerland
GM0088,Schiermonnikoog
GM0086,Opsterland
GM0085,Ooststellingwerf
GM0547,Leiderdorp
GM1509,Oude IJsselstreek
GM0080,Leeuwarden
GM0546,Leiden
GM1507,Horst aan de Maas
GM0542,Krimpen aan den IJssel
GM0279,Scherpenzeel
GM1735,Hof van Twente
GM1734,Overbetuwe
GM0277,Rozendaal
GM1731,Midden-Drenthe
GM0285,Voorst
GM1730,Tynaarlo
GM0281,Tiel
GM0420,Medemblik
GM0907,Gennep
GM0098,Weststellingwerf
GM0758,Breda
GM0158,Haaksbergen
GM0757,Boxtel
GM0096,Vlieland
GM0756,Boxmeer
GM0755,Boekel
GM0093,Terschelling
GM0753,Best
GM0164,Hengelo
GM0163,Hellendoorn
GM0090,Smallingerland
GM0160,Hardenberg
GM0289,Wageningen
GM0638,Zoeterwoude
GM0637,Zoetermeer
GM0297,Zaltbommel
GM1742,Rijssen-Holten
GM0296,Wijchen
GM1740,Neder-Betuwe
GM0294,Winterswijk
GM0293,Westervoort
GM0632,Woerden
GM1876,Bronckhorst
GM0168,Losser
GM0166,Kampen
GM0766,Dongen
GM0765,Pekela
GM0175,Ommen
GM0399,Heiloo
GM0398,Heerhugowaard
GM0173,Oldenzaal
GM0762,Deurne
GM0397,Heemstede
GM0171,Noordoostpolder
GM0995,Lelystad
GM0770,Eersel
GM0994,Valkenburg aan de Geul
GM0299,Zevenaar
GM0879,Zundert
GM0642,Zwijndrecht
GM0873,Woensdrecht
GM0880,Wormerland
GM0779,Geertruidenberg
GM0177,Raalte
GM0777,Etten-Leur
GM0184,Urk
GM0183,Tubbergen
GM0772,Eindhoven
GM1969,Westerkwartier
GM0180,Staphorst
GM1966,Het Hogeland
GM1963,Hoeksche Waard
GM1961,Vijfheerenlanden
GM1960,West Betuwe
GM0889,Beesel
GM0654,Borsele
GM0888,Beek
GM0037,Stadskanaal
GM0034,Almere
GM0882,Landgraaf
GM0189,Wierden
GM0505,Dordrecht
GM0358,Aalsmeer
GM0788,Haaren
GM0503,Delft
GM0197,Aalten
GM0356,Nieuwegein
GM0786,Grave
GM0502,Capelle aan den IJssel
GM0355,Zeist
GM0785,Goirle
GM0501,Brielle
GM0784,Gilze en Rijen
GM0353,IJsselstein
GM0193,Zwolle
GM0363,Amsterdam
GM0362,Amstelveen
GM1978,Molenlanden
GM0361,Alkmaar
GM1970,Noardeast-Fryslân
GM0668,West Maas en Waal
GM0899,Brunssum
GM0664,Goes
GM0233,Ermelo
GM0232,Epe
GM0047,Veendam
GM0718,Vlissingen
GM0717,Veere
GM0893,Bergen (L.)
GM0716,Tholen
GM0715,Terneuzen
GM0050,Zeewolde
GM1709,Moerdijk
GM0599,Rotterdam
GM1708,Steenwijkerland
GM0597,Ridderkerk
GM0373,Bergen (NH.)
GM1706,Cranendonck
GM1705,Lingewaard
GM0370,Beemster
GM1702,Sint Anthonis
GM1701,Westerveld
GM1700,Twenterand
GM0246,Heerde
GM0479,Zaanstad
GM0244,Hattem
GM0059,Achtkarspelen
GM0243,Harderwijk
GM0252,Heumen
GM1685,Landerd
GM0484,Alphen aan den Rijn
GM1684,Cuijk
GM0482,Alblasserdam
GM0957,Roermond
GM0060,Ameland
GM1690,De Wolden
